medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
699,,2½,893,원형,노랑,
700,,HM,AM+,타원형,하양,
701,,RSD분할선3,,장방형,노랑,
702,,YH,702,장방형,하양,
703,,U분할선M,4분할선LX,타원형,하양,
704,,HM MLX7.5,,장방형,연두,연두
705,,0,,사각형,하양,
706,,CΛF,,원형,노랑,
707,,KD FQ,,타원형,검정,
708,,J분할선W,,타원형,파랑,
709,,D-W,BTM,타원형,노랑,
710,,MPH 5,,장방형,하양,하양
711,,MPH 40,,장방형,보라,회색
712,,MPH 10,,장방형,보라,하양
713,,MPH 30,,장방형,보라,회색
714,,MPH 20,,장방형,보라,보라
715,,UT CL DUO,,장방형,주황,하양
716,,마크,R,원형,하양,
